"Station.name","Lens","DepthClass","StratClass","SurfaceAreaClass","DevelopmentClass","NtPClass","Year","Depth","Long","Lat","Sampling.number","Total.Depth","Final.Depth","Max.Depth","Secchi","MLD","Temp","DO","DO_sat","Alk","TN","TP","Chla","TN_uM","TP_uM","Air.Temperature...AT","Ammonium...NH4","CTI_Chlorophyll","CTI_Secchi","CTI_TP","Dissolved.Oxygen.Concentration...Final...DO_FINAL","Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL","Nitrate...Nitrite...NOX","Orthophosphate...PO4","Oxidation.Reduction.Potential...ORP","Percent.Secchi...SECCHI_PCT","pH","Phaeo","Sal","Specific.Conductivity...COND","Total.Dissolved.Solids...TDS","Total.Pigments...TOTAL_PIGMENTS","Month","Year_frac","Size","PercentDeveloped","Final.Depth.ft","Secchi_flag","MLD_flag","Temp_flag","DO_flag","DO_sat_flag","Alk_flag","TN_flag","TP_flag","Chla_flag","TN_uM_flag"
"TR-52-01 / Snow Pond","Pamet","Deep","Stratified","Small","Very Low","P-limited",2003,7,-70.02760885,41.96976029,270405,NA,7.9248,7,2.17,1,8.38,0.18,1.51747778581908,0.89,1315.22913,40.27,3.29,93.9,1.3,NA,NA,42.28,NA,57.44,NA,NA,NA,NA,NA,NA,5.9,4.19,NA,NA,NA,NA,9,2003.75,7.439522609,3,26,2,2,2,2,2,2,2,2,2,2
"TR-52-01 / Snow Pond","Pamet","Deep","Stratified","Small","Very Low","P-limited",2004,6.5,-70.02760885,41.96976029,262781,NA,7.9248,7,3.42,4,9.1,0.3,2.57160613851332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2004.75,7.439522609,3,26,2,2,2,2,2,4,4,4,4,4
"TR-52-01 / Snow Pond","Pamet","Deep","Stratified","Small","Very Low","P-limited",2012,6,-70.02760885,41.96976029,268500,NA,7.9248,7,4.45,4,23.27,0.39,4.47143105116823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2012.66666666667,7.439522609,3,26,2,2,2,2,2,4,4,4,4,4
"TR-52-01 / Snow Pond","Pamet","Deep","Stratified","Small","Very Low","P-limited",2013,6,-70.02760885,41.96976029,258748,NA,7.9248,7,5.8,3,14.43,1.67,16.0958226752092,3.7,153.933633,7.43,1.07,10.99,0.24,NA,NA,31.26,NA,33.07,NA,NA,NA,NA,NA,NA,5.7,0.52,NA,NA,NA,NA,8,2013.66666666667,7.439522609,3,26,2,2,2,2,2,2,2,2,2,2
"WE-56-01 / Herring Pond","Chequesset","Deep","Mixed","Medium","Very Low","P-limited",2023,3.7,-70.01342466,41.9631973,358905.333333333,NA,2.1336,4.7,1.34,3.7,23.37,0.03,0.3,12.815,399.891285,NA,26.28,28.55,1.035,NA,0.435,NA,NA,NA,0.03,0.3,0.075,0.145,90.88,NA,6.08333333333333,9.895,0.08,177.42,115.33,NA,8.33333333333333,2023.69444444444,18.9254984,3,7,2,2,2,2,2,2,2,4,2,2
"WE-56-01 / Herring Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2001,4,-70.01342466,41.9631973,272205,NA,2.1336,4.7,1.3,3,19.4,0.6,6.39440961199878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2001.75,18.9254984,3,7,2,2,2,2,2,4,4,4,4,4
"WE-57-01 / Higgins Pond","Chequesset","Deep","Mixed","Medium","Very Low","P-limited",2001,5,-70.00844942,41.9615982,272212,NA,6.096,5.5,3.6,5,23.7,7.8,90.1351657968604,7.5,313.75008,10.84,3.08,22.4,0.35,NA,NA,41.64,NA,38.52,NA,NA,NA,NA,NA,NA,6.58,0.81,NA,NA,NA,NA,9,2001.75,26.71461643,2,20,2,2,2,2,2,2,2,2,2,2
"WE-57-01 / Higgins Pond","Chequesset","Deep","Mixed","Medium","Very Low","P-limited",2003,5,-70.00844942,41.9615982,270476,NA,6.096,5.5,2.27,5,21.89,7.6,84.9356585216213,0.75,371.17755,6.19,2.6,26.5,0.2,NA,NA,39.97,NA,30.44,NA,NA,NA,NA,NA,NA,6.46,0.54,NA,NA,NA,NA,9,2003.75,26.71461643,2,20,2,2,2,2,2,2,2,2,2,2
"WE-57-01 / Higgins Pond","Chequesset","Deep","Mixed","Medium","Very Low","P-limited",2004,5,-70.00844942,41.9615982,262898,NA,6.096,5.5,5,5.5,24,8.3,96.4380499943887,19.17,304.645725,15.49,4.17,21.75,0.5,NA,NA,44.61,NA,43.66,NA,NA,NA,NA,NA,NA,6.46,2.49,NA,NA,NA,NA,8,2004.66666666667,26.71461643,2,20,2,2,2,2,2,2,2,2,2,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2001,17,-70.00786565,41.95644057,272183,NA,19.5072,20,8,7,7.6,0.45,3.72482783865448,17,1124.73801,51.42,0,80.3,1.66,NA,NA,0,NA,60.97,NA,NA,NA,NA,NA,NA,6.25,11.1,NA,NA,NA,NA,9,2001.75,108.0520088,9,64,2,2,2,2,2,2,2,2,2,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2004,19,-70.00786565,41.95644057,262868,NA,19.5072,20,6.7,9,7.3,0.21,1.72595202511378,40.76,3459.514833,NA,61.98,246.99,NA,NA,NA,71.08,NA,NA,NA,NA,NA,NA,NA,NA,6.28,343.22,NA,NA,NA,NA,9,2004.75,108.0520088,9,64,2,2,2,2,2,2,2,4,2,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2005,19,-70.00786565,41.95644057,254913,NA,19.5072,20,6.93,9,7.69,0.12,0.99538636559161,40.36,1395.06732,65.04,0.78,99.6,2.1,NA,NA,28.16,NA,64.35,NA,NA,NA,NA,NA,NA,6.41,25.7,NA,NA,NA,NA,9,2005.75,108.0520088,9,64,2,2,2,2,2,2,2,2,2,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2006,19,-70.00786565,41.95644057,256465,NA,19.5072,20,6.65,9,7.17,0.11,0.901285823286743,51.86,1617.493716,87.15,NA,115.48,2.81,NA,NA,NA,NA,68.57,NA,NA,NA,NA,NA,NA,6.44,64.79,NA,NA,NA,NA,9,2006.75,108.0520088,9,64,2,2,2,2,2,2,2,2,4,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2007,17.5,-70.00786565,41.95644057,264109,NA,19.5072,20,6.4,7,7.45,0.335,2.76354810171064,15.2,1246.316166,79.1,NA,88.98,2.55,NA,NA,NA,NA,67.18,NA,NA,NA,NA,NA,NA,6.1,40.3,NA,NA,NA,NA,8,2007.66666666667,108.0520088,9,64,2,2,2,2,2,2,2,2,4,2
"WE-59-01 / Gull Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2009,19,-70.00786565,41.95644057,266493,NA,19.5072,20,7.6,9,7.74,0.05,0.415232640030585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2009.75,108.0520088,9,64,2,2,2,2,2,4,4,4,4,4
"WE-61-01 / Kinnicum Pond","Chequesset","Deep","Mixed","Very Small","Very Low","P-limited",2001,3.5,-69.99846482,41.95260872,272220,NA,4.572,3.5,3.5,3.5,22.3,5.9,66.443875794594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2001.75,2.776969589,1,15,2,2,2,2,2,4,4,4,4,4
"WE-61-01 / Kinnicum Pond","Chequesset","Deep","Stratified","Very Small","Very Low","P-limited",2003,3,-69.99846482,41.95260872,270484,NA,4.572,3.5,1.7,1,14.42,0.25,2.40908121051265,0.09,665.31825,6.19,28.53,47.5,0.2,NA,NA,63.47,NA,30.44,NA,NA,NA,NA,NA,NA,5.45,6.39,NA,NA,NA,NA,9,2003.75,2.776969589,1,15,2,2,2,2,2,2,2,2,2,2
"WE-61-01 / Kinnicum Pond","Chequesset","Deep","Stratified","Very Small","Very Low","P-limited",2004,2.7,-69.99846482,41.95260872,262907,NA,4.572,3.5,0.9,1,21,6.4,70.3357049103086,NA,812.108466,30.04,97.11,57.98,0.97,NA,NA,75.49,NA,53.21,NA,NA,NA,NA,NA,NA,4.67,0.03,NA,NA,NA,NA,9,2004.75,2.776969589,1,15,2,2,2,2,2,4,2,2,2,2
"WE-64-01 / Spectacle Pond","Chequesset","Deep","Mixed","Very Small","Very Low","P-limited",2001,6,-69.99591361,41.95137982,272259,NA,7.62,7,6.9,7,23.7,7.6,87.8236111820349,0.6,200.29581,7.43,1.19,14.3,0.24,NA,NA,32.31,NA,33.07,NA,NA,NA,NA,NA,NA,5.08,0.96,NA,NA,NA,NA,9,2001.75,1.685207079,0,25,2,2,2,2,2,2,2,2,2,2
"WE-64-01 / Spectacle Pond","Chequesset","Deep","Mixed","Very Small","Very Low","P-limited",2004,6,-69.99591361,41.95137982,262928,NA,7.62,7,6,6.5,19.79,7.63,81.9318295725567,2.02,251.840466,6.19,0.83,17.98,0.2,NA,NA,28.77,NA,30.44,NA,NA,NA,NA,NA,NA,5.31,1.22,NA,NA,NA,NA,9,2004.75,1.685207079,0,25,2,2,2,2,2,2,2,2,2,2
"WE-64-01 / Spectacle Pond","Chequesset","Deep","Stratified","Very Small","Very Low","P-limited",2003,6,-69.99591361,41.95137982,270515,NA,7.62,7,5.2,2,11.19,0.31,2.78579974836916,0.78,928.64421,40.27,83.25,66.3,1.3,NA,NA,73.98,NA,57.44,NA,NA,NA,NA,NA,NA,6,68.53,NA,NA,NA,NA,9,2003.75,1.685207079,0,25,2,2,2,2,2,2,2,2,2,2
"WE-65-01 / Long Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2001,14,-70.00451933,41.94497781,272229,NA,15.24,15,3.4,8,14,0.23,2.19667254344866,11.4,473.42646,20.44,9.1,33.8,0.66,NA,NA,52.26,NA,47.66,NA,NA,NA,NA,NA,NA,6.26,10.46,NA,NA,NA,NA,9,2001.75,36.88476503,10,50,2,2,2,2,2,2,2,2,2,2
"WE-65-01 / Long Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2003,14,-70.00451933,41.94497781,270491,NA,15.24,15,6.63,4,9.75,2.64,22.9681304988906,NA,99.44757,9.29,6.7,7.1,0.3,NA,NA,49.26,NA,36.29,NA,NA,NA,NA,NA,NA,4.58,0.85,NA,NA,NA,NA,9,2003.75,36.88476503,10,50,2,2,2,2,2,4,2,2,2,2
"WE-65-01 / Long Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2005,14,-70.00451933,41.94497781,254936,NA,15.24,15,4.23,8,13.83,0.12,1.14196350775262,19.17,617.275269,18.58,NA,44.07,0.6,NA,NA,NA,NA,46.29,NA,NA,NA,NA,NA,NA,6.11,67.45,NA,NA,NA,NA,9,2005.75,36.88476503,10,50,2,2,2,2,2,2,2,2,4,2
"WE-65-01 / Long Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2006,14,-70.00451933,41.94497781,256488,NA,15.24,15,5.2,8,13.68,0.15,1.42290661209642,6.26,544.720563,11.58,NA,38.89,0.37,NA,NA,NA,NA,39.47,NA,NA,NA,NA,NA,NA,5.6,56.79,NA,NA,NA,NA,9,2006.75,36.88476503,10,50,2,2,2,2,2,2,2,2,4,2
"WE-65-01 / Long Pond","Chequesset","Deep","Stratified","Large","Low","P-limited",2007,14,-70.00451933,41.94497781,264131,NA,15.24,15,6.38,7,12.44,0.2,1.84725491602021,4.3,432.526896,16.05,NA,30.88,0.52,NA,NA,NA,NA,44.18,NA,NA,NA,NA,NA,NA,5.49,8.77,NA,NA,NA,NA,8,2007.66666666667,36.88476503,10,50,2,2,2,2,2,2,2,2,4,2
"WE-66-01 / Northeast Pond","Chequesset",NA,"Mixed","Very Small","Very Low","P-limited",2001,3,-69.99902012,41.94331471,272246,NA,3.599956224,3,3.6,3,22.5,5.6,63.3003218772782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2001.75,3.984534268,1,11.81088,2,2,2,2,2,4,4,4,4,4
"WE-66-01 / Northeast Pond","Chequesset",NA,"Mixed","Very Small","Very Low","P-limited",2004,2.5,-69.99902012,41.94331471,262915,NA,3.599956224,3,3.1,2.5,24.3,6.7,78.2727523950677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2004.75,3.984534268,1,11.81088,2,2,2,2,2,4,4,4,4,4
"WE-67-01 / Great Pond","Chequesset","Deep","Stratified","Large","Very Low","P-limited",2001,15,-70.00056322,41.94047071,272165,NA,17.0688,16,6,11,17.1,0.39,3.97118903105277,6.4,579.87738,7.43,5.28,41.4,0.24,NA,NA,46.92,NA,33.07,NA,NA,NA,NA,NA,NA,5.74,17.07,NA,NA,NA,NA,9,2001.75,43.99957843,4,56,2,2,2,2,2,2,2,2,2,2
"WE-67-01 / Great Pond","Chequesset","Deep","Stratified","Large","Very Low","P-limited",2003,14,-70.00056322,41.94047071,270452,NA,17.0688,16,5.37,9,14.05,1.34,12.8115652153709,0.12,NA,6.19,3.15,NA,0.2,NA,NA,41.86,NA,NA,NA,NA,NA,NA,NA,NA,5.23,0.03,NA,NA,NA,NA,9,2003.75,43.99957843,4,56,2,2,2,2,2,2,4,2,2,4
"WE-67-01 / Great Pond","Chequesset","Deep","Stratified","Large","Very Low","P-limited",2004,15,-70.00056322,41.94047071,262833,NA,17.0688,16,6.5,10,13,0.4,3.73953468375589,14.93,150.852159,7.43,NA,10.77,0.24,NA,NA,NA,NA,33.07,NA,NA,NA,NA,NA,NA,5.98,0.17,NA,NA,NA,NA,8,2004.66666666667,43.99957843,4,56,2,2,2,2,2,2,2,2,4,2
"WE-67-01 / Great Pond","Chequesset","Deep","Stratified","Large","Very Low","P-limited",2023,14.8,-70.00056322,41.94047071,357879,NA,17.0688,16,5.88,7,10.11,0,0,3.3,142.86834,NA,1.54,10.2,0.29,NA,2.2,NA,NA,NA,0,0,0.24,0,90.55,NA,5.565,2.95,0.06,121.02,78.81,NA,8,2023.66666666667,43.99957843,4,56,2,2,2,2,2,2,2,4,2,2
"WE-68-01 / Southeast Pond","Chequesset","Deep","Mixed","Very Small","Very Low","P-limited",2001,3,-69.99704254,41.94008534,272252,NA,3.9624,3.5,3.5,3.5,23.2,6.07,69.5053854397435,0.3,247.91859,4.03,0.96,17.7,0.13,NA,NA,30.2,NA,24.25,NA,NA,NA,NA,NA,NA,4.86,0.84,NA,NA,NA,NA,9,2001.75,2.785830005,2,13,2,2,2,2,2,2,2,2,2,2
"WE-68-01 / Southeast Pond","Chequesset","Deep","Stratified","Very Small","Very Low","P-limited",2004,3,-69.99704254,41.94008534,262921,NA,3.9624,3.5,NA,2,22.3,0.9,10.1355294728575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2004.75,2.785830005,2,13,4,2,2,2,2,4,4,4,4,4
"WE-71-01 / Dyer Pond","Chequesset","Deep","Mixed","Small","Very Low","P-limited",2001,9,-70.00946645,41.93875967,272149,NA,10.9728,10,3.9,10,24.1,8.2,95.4474487266299,0.6,134.46432,7.43,3.4,9.6,0.24,NA,NA,42.61,NA,33.07,NA,NA,NA,NA,NA,NA,5.07,1,NA,NA,NA,NA,9,2001.75,11.77403477,3,36,2,2,2,2,2,2,2,2,2,2
"WE-71-01 / Dyer Pond","Chequesset","Deep","Stratified","Small","Very Low","P-limited",2003,8,-70.00946645,41.93875967,270440,NA,10.9728,10,5.5,5,17.42,11.75,120.420844781665,0.07,411.79698,3.1,2.19,29.4,0.1,NA,NA,38.29,NA,20.46,NA,NA,NA,NA,NA,NA,5.17,0.18,NA,NA,NA,NA,9,2003.75,11.77403477,3,36,2,2,2,2,2,2,2,2,2,2
"WE-71-01 / Dyer Pond","Chequesset","Deep","Stratified","Small","Very Low","P-limited",2014,9,-70.00946645,41.93875967,260435,NA,10.9728,10,5.3,5,16.15,0.19,1.89776849333957,4.2,203.09715,23.85,16.97,14.5,0.77,NA,NA,58.38,NA,49.89,NA,NA,NA,NA,NA,NA,5.75,21.24,NA,NA,NA,NA,8,2014.66666666667,11.77403477,3,36,2,2,2,2,2,2,2,2,2,2
"WE-71-01 / Dyer Pond","Chequesset","Deep","Stratified","Small","Very Low","P-limited",2016,9,-70.00946645,41.93875967,257455,NA,10.9728,10,4.4,7,16.5,0.15,1.50897647874354,9.1,276.632325,NA,11.05,19.75,NA,NA,NA,54.17,NA,NA,NA,NA,NA,NA,NA,NA,5.68,31.41,NA,NA,NA,42.45,9,2016.75,11.77403477,3,36,2,2,2,2,2,2,2,4,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2001,17,-70.00046149,41.93286397,272129,NA,17.0688,18,3.9,7,10.2,0.35,3.07617220661488,0,46.22211,7.43,1.06,3.3,0.24,NA,NA,31.17,NA,33.07,NA,NA,NA,NA,NA,NA,4.66,1.47,NA,NA,NA,NA,9,2001.75,12.95285416,2,56,2,2,2,2,2,2,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2003,17,-70.00046149,41.93286397,270419,NA,17.0688,18,4,4,9.6,2.92,25.3171700612403,NA,68.63283,12.39,0.76,4.9,0.4,NA,NA,27.91,NA,40.44,NA,NA,NA,NA,NA,NA,4.75,2.06,NA,NA,NA,NA,9,2003.75,12.95285416,2,56,2,2,2,2,2,4,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2004,16,-70.00046149,41.93286397,262797,NA,17.0688,18,4.25,10,11.1,0.16,1.43489222842823,7.87,65.83149,1.24,6.18,4.7,0.04,NA,NA,48.47,NA,7.25,NA,NA,NA,NA,NA,NA,5.89,0.03,NA,NA,NA,NA,9,2004.75,12.95285416,2,56,2,2,2,2,2,2,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2005,17,-70.00046149,41.93286397,254893,NA,17.0688,18,4.56,8,11.5,0.18,1.62861563567445,20.38,233.771823,15.49,2.95,16.69,0.5,NA,NA,41.21,NA,43.66,NA,NA,NA,NA,NA,NA,6.2,2.1,NA,NA,NA,NA,9,2005.75,12.95285416,2,56,2,2,2,2,2,2,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2006,15.5,-70.00046149,41.93286397,256445,NA,17.0688,18,4.35,8,10.415,0.5,4.41732231761209,NA,136.705392,5.92,0.91,9.76,0.19,NA,NA,29.67,NA,29.79,NA,NA,NA,NA,NA,NA,4.75,1.85,NA,NA,NA,NA,9,2006.75,12.95285416,2,56,2,2,2,2,2,4,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2007,16,-70.00046149,41.93286397,264089,NA,17.0688,18,5.88,8,13.47,0.21,1.98314479960184,NA,245.537451,4.76,1.18,17.53,0.15,NA,NA,32.24,NA,26.65,NA,NA,NA,NA,NA,NA,4.61,2.2,NA,NA,NA,NA,8,2007.66666666667,12.95285416,2,56,2,2,2,2,2,4,2,2,2,2
"WE-76-01 / Duck Pond","Chequesset","Deep","Stratified","Medium","Very Low","P-limited",2010,17,-70.00046149,41.93286397,258522,NA,17.0688,18,NA,7,8.8,0.27,2.29838202906666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2010.75,12.95285416,2,56,4,2,2,2,2,4,4,4,4,4
