"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","all_params","param_years","param_last5avg_surf","last_year","programs"
"BA-815-01","Eagle Pond",14,14,1,1,"2001, 2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 1","3.89, 25.63, 7.56, 6.58, 14.03, 0.46, 14.35, 44.13, 1.27, 0.23, 42.17, 24.56, 40.49, 2",2020,"Pond and Lake Stewards"
"BA-819-01","Coleman Pond",1,1,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"BA-874-01","Neck Pond",15,15,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","15, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 1","6.1, 23.5, 8.94, 6.74, 19.57, 0.61, 18.79, 27.77, 1.95, 3.18, 42.11, 26.07, 34.16, 2",2020,"Pond and Lake Stewards"
"BA-875-01","Parker Pond",16,16,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","16, 16, 16, 1, 15, 15, 15, 14, 15, 15, 15, 14, 14, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1.54, 22.98, 7.58, NA, 6.98, 29.97, 0.63, 19.57, 44.85, 6.63, 9.83, 46.71, 47.93, 53.92, NA, NA, NA, NA, NA, NA, NA, 2, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-878-01","Crystal Lake",15,15,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","15, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 1","4.78, 22.77, 9.5, 6.58, 10.6, 0.64, 19.93, 29.91, 3.38, 2.45, 45.77, 42.05, 37.53, 2",2020,"Pond and Lake Stewards"
"BA-881-01","Lewis Pond",14,14,1,1,"2001, 2003, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 1","1.39, 25.6, 8.45, 7, 24.97, 0.82, 25.55, 29.17, 8.27, 2.14, 50.74, 47.13, 55.38, 2",2020,"Pond and Lake Stewards"
"BA-914-01","Rushy Marsh Pond",7,6,1,1,"2003, 2009, 2010, 2011, 2012, 2013, 2014","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2014,"Pond and Lake Stewards"
"BO-212-01","Queen Sewell Pond",1,1,2,2,"2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TN, Chla, Phaeo, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Cape Cod Regional Pond Monitoring Program"
"BO-511-01","Shop Pond",3,3,1,1,"2004, 2005, 2007","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2007,"Pond and Lake Stewards"
"BO-538-01","Lily Pond",5,0,1,1,"2001, 2003, 2005, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"BO-556-01","Flax Pond",7,6,2,1.14,"2001, 2003, 2004, 2005, 2007, 2008, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","6, 7, 7, 1, 7, 7, 7, 6, 7, 7, 7, 6, 6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BO-578-01","Fish and Game Pond (South)",1,0,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"BO-644-01","Red Brook Pond",8,7,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","7, 8, 8, 1, 8, 8, 8, 7, 8, 8, 8, 7, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BR-162-01","Owl Pond",12,12,1,1,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12","5.8, 23.4, 5.92, 6.02, 2.8, 0.97, 30.04, 27.99, 4.31, 2.33, 53.21, 44.93, 34.67",2016,"Pond and Lake Stewards"
"BR-168-01","Flax Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","5.24, 23.5, 9.26, 6.46, 5.8, 0.34, 10.53, 27.37, 3.64, 0.03, 38.1, 43.27, 36.13",2016,"Pond and Lake Stewards"
"BR-177-01","Myricks Pond",13,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","1.4, 24, 8.9, 6.92, 13.3, 0.76, 23.54, 62.71, 50.21, 5.47, 49.7, 69.02, 55.15",2016,"Pond and Lake Stewards"
"BR-179-01","Cobbs Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","1.71, 23.5, 8.91, 7.19, 28, 1.36, 42.12, 66.22, 26.57, 20.42, 58.09, 62.77, 52.31",2016,"Pond and Lake Stewards"
