Station name,Station number,Long/lat coordinates,Site,Measuring program name,Date/Time (sampling) ,Depth,Sample number,Total Depth / DTB,Quality code,Chlorophyll / CHLA,Quality code,Secchi Depth / SECCHI,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Water Temperature / TEMP,Quality code,Total Phosphorus / TP,Quality code,Total Phosphorus - micrograms per liter / TP_ugL,Quality code,Total Nitrogen - Reported / TN,Quality code,Carlson Trophic Index - Total Phosphorus based / CTI_TP,Quality code,Carlson Trophic Index - Chlorophyll a based / CTI_CHLA,Quality code,Carlson Trophic Index - Secchi Depth Based / CTI_SD,Quality code,Alkalinity / ALK,Quality code,pH / PH,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Oxidation Reduction Potential / ORP,Quality code,pH / PH,Quality code,Phaeophytin / PHAEO,Quality code,Qualitative Wind Description / WIND,Quality code,Salinity / SAL,Quality code,Salinity / SAL,Quality code,Specific Conductivity / COND,Quality code,Total Dissolved Solids / TDS,Quality code,Total Pigments / TOTAL_PIGMENTS,Quality code,Water Temperature / TEMP,Quality code
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,5.5,,,,55.03,SMAST Pond,,,,,,,1.75,SMAST Pond,54.24,SMAST Pond,62.99,SMAST Pond,61.74,,69.92,,,,45,SMAST Pond,6.39,SMAST Pond,,,,,,,,,,,19.46,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,6,,,,,,,,0.08,SMAST Pond,12.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,6.5,,,,,,,,0.06,SMAST Pond,11.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,0.5,,5.97,SMAST Pond,3.92,SMAST Pond,2.83,SMAST Pond,5.99,SMAST Pond,22.3,SMAST Pond,0.67,SMAST Pond,20.89,SMAST Pond,60.44,SMAST Pond,47.98,,44.01,,45.01,,13.7,SMAST Pond,6.49,SMAST Pond,,,,,,,,,,,0.87,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,1,,,,,,,,5.74,SMAST Pond,21.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,2,,,,,,,,5.79,SMAST Pond,20.7,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,3,,,,12.89,SMAST Pond,,,4.04,SMAST Pond,19.9,SMAST Pond,1.04,SMAST Pond,32.31,SMAST Pond,63.57,SMAST Pond,0,,55.68,,,,13.7,SMAST Pond,6.25,SMAST Pond,,,,,,,,,,,1.73,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,4,,,,,,,,0.79,SMAST Pond,18.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,5,,,,17.33,SMAST Pond,,,0.45,SMAST Pond,14.4,SMAST Pond,1.97,SMAST Pond,60.97,SMAST Pond,103.69,SMAST Pond,63.42,,58.58,,,,26.3,SMAST Pond,6.36,SMAST Pond,,,,,,,,,,,10.34,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/07 0:00,5.5,,,,,,,,0.42,SMAST Pond,12.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,0.5,,6.2,SMAST Pond,42.4,SMAST Pond,0.75,SMAST Pond,7.17,SMAST Pond,19.1,SMAST Pond,0.82,SMAST Pond,25.4,SMAST Pond,77.98,SMAST Pond,50.8,,67.36,,64.15,,13,SMAST Pond,6.67,SMAST Pond,,,,,,,,,,,0.76,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,1,,,,,,,,7.01,SMAST Pond,19,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,2,,,,,,,,6.58,SMAST Pond,18.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,3,,,,39.16,SMAST Pond,,,6.51,SMAST Pond,18.5,SMAST Pond,1.22,SMAST Pond,37.79,SMAST Pond,63.72,SMAST Pond,56.52,,66.58,,,,13,SMAST Pond,6.59,SMAST Pond,,,,,,,,,,,2.86,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,4,,,,,,,,5.5,SMAST Pond,18.3,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,5,,,,,,,,0.35,SMAST Pond,15.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,5.2,,,,14.75,SMAST Pond,,,,,,,2.55,SMAST Pond,78.98,SMAST Pond,188.48,SMAST Pond,67.15,,57,,,,56.6,SMAST Pond,6.47,SMAST Pond,,,,,,,,,,,18.64,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/08 0:00,6,,,,,,,,0.19,SMAST Pond,11.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/28/09 0:00,1,,,,,,,,5.6,SMAST Pond,18.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/28/09 0:00,2,,,,,,,,5.46,SMAST Pond,18.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/28/09 0:00,3,,,,,,,,5.08,SMAST Pond,18.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/28/09 0:00,4,,,,,,,,3.51,SMAST Pond,18,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/28/09 0:00,5,,,,,,,,0.3,SMAST Pond,15.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/29/10 0:00,1,,,,12.11,SMAST Pond,,,,,,,0.62,SMAST Pond,19.1,SMAST Pond,,,46.68,,55.07,,,,16.4,SMAST Pond,7.68,SMAST Pond,,,,,,,,,,,1.62,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/29/10 0:00,2,,,,19.68,SMAST Pond,,,,,,,0.6,SMAST Pond,18.71,SMAST Pond,,,46.39,,59.83,,,,24.8,SMAST Pond,6.86,SMAST Pond,,,,,,,,,,,8.07,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,0.5,,6.35,SMAST Pond,13.91,SMAST Pond,1.43,SMAST Pond,6.47,SMAST Pond,20,SMAST Pond,1.17,SMAST Pond,36.24,SMAST Pond,56.8,SMAST Pond,55.92,,56.43,,54.9,,14.9,SMAST Pond,7.13,SMAST Pond,,,,,,,,,,,0.77,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,1,,,,,,,,6.44,SMAST Pond,19.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,2,,,,,,,,6.08,SMAST Pond,19.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,3,,,,,,,,5.09,SMAST Pond,19.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,4,,,,,,,,3.91,SMAST Pond,19.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,5,,,,,,,,0.21,SMAST Pond,16.7,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/21/11 0:00,5.5,,,,14.25,SMAST Pond,,,0.11,SMAST Pond,13.5,SMAST Pond,17.93,SMAST Pond,555.36,SMAST Pond,374.96,SMAST Pond,95.28,,56.66,,,,61.6,SMAST Pond,6.47,SMAST Pond,,,,,,,,,,,18.67,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,0.5,,6.25,SMAST Pond,1.64,SMAST Pond,4.88,SMAST Pond,6.6,SMAST Pond,19.6,SMAST Pond,0.76,SMAST Pond,23.54,SMAST Pond,26.6,SMAST Pond,49.7,,35.45,,37.17,,16.4,SMAST Pond,6.83,SMAST Pond,,,,,,,,,,,1.05,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,1,,,,,,,,6.55,SMAST Pond,19.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,2,,,,,,,,6.47,SMAST Pond,19.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,3,,,,,,,,6.42,SMAST Pond,19.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,4,,,,,,,,6.45,SMAST Pond,19.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,5,,,,,,,,1.66,SMAST Pond,15.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,5.25,,,,64.52,SMAST Pond,,,,,,,3.45,SMAST Pond,106.86,SMAST Pond,173.3,SMAST Pond,71.51,,71.48,,,,7.9,SMAST Pond,6.75,SMAST Pond,,,,,,,,,,,19.92,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/12 0:00,6,,,,,,,,0.23,SMAST Pond,11.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,0.5,,5.95,SMAST Pond,6.06,SMAST Pond,1.8,SMAST Pond,7.92,SMAST Pond,18.8,SMAST Pond,1.02,SMAST Pond,31.59,SMAST Pond,36.07,SMAST Pond,53.94,,48.27,,51.53,,18.1,SMAST Pond,7.1,SMAST Pond,,,,,,,,,,,0.94,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,1,,,,,,,,7.88,SMAST Pond,18.7,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,2,,,,,,,,7.92,SMAST Pond,18.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,3,,,,6.6,SMAST Pond,,,7.21,SMAST Pond,18.3,SMAST Pond,1.14,SMAST Pond,,,40.53,SMAST Pond,6.04,,49.11,,,,18.4,SMAST Pond,7,SMAST Pond,,,,,,,,,,,1.82,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,4,,,,,,,,3.98,SMAST Pond,17.7,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,4.95,,,,26.56,SMAST Pond,,,,,,,3.05,SMAST Pond,,,178.78,SMAST Pond,,,,,,,47.8,SMAST Pond,6.5,SMAST Pond,,,,,,,,,,,40.05,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/25/13 0:00,5,,,,,,,,0.26,SMAST Pond,15.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/14/16 0:00,1,,5.48,SMAST Pond,10.69,SMAST Pond,1.89,SMAST Pond,4.5,SMAST Pond,23.7,SMAST Pond,1.36,SMAST Pond,42.12,SMAST Pond,59.24,SMAST Pond,58.09,,53.84,,50.83,,34.1,SMAST Pond,6.95,SMAST Pond,,,,,,,,,,,4.01,SMAST Pond,,,,,,,,,,,14.71,SMAST Pond,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/14/16 0:00,4,,,,53.94,SMAST Pond,,,0.55,SMAST Pond,20.3,SMAST Pond,0.43,SMAST Pond,13.32,SMAST Pond,62.64,SMAST Pond,41.49,,69.72,,,,47.8,SMAST Pond,6.81,SMAST Pond,,,,,,,,,,,8.92,SMAST Pond,,,,,,,,,,,62.86,SMAST Pond,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/10/19 0:00,0.15,,0.8,SMAST - Unflagged,19.53,SMAST - Unflagged,0.83,SMAST - Unflagged,6.69,SMAST - Unflagged,21.3,SMAST - Unflagged,1.16,SMAST - Unflagged,,,51.99,SMAST - Unflagged,,,,,,,27.1,SMAST - Unflagged,6.67,SMAST - Unflagged,,,,,,,,,,,4.43,SMAST - Unflagged,1,SMAST - Unflagged,,,,,,,,,23.96,SMAST - Unflagged,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/10/19 0:00,0.5,,,,19.54,SMAST - Unflagged,,,6.65,SMAST - Unflagged,21.1,SMAST - Unflagged,1.23,SMAST - Unflagged,,,53.59,SMAST - Unflagged,,,,,,,27.3,SMAST - Unflagged,6.68,SMAST - Unflagged,,,,,,,,,,,4.39,SMAST - Unflagged,,,,,,,,,,,23.93,SMAST - Unflagged,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/14/20 0:00,0.5,,5.75,SMAST - Unflagged,6.11,SMAST - Unflagged,1.4,SMAST - Unflagged,8.76,SMAST - Unflagged,22.6,SMAST - Unflagged,0.91,SMAST - Unflagged,,,72.85,SMAST - Unflagged,,,,,,,31.7,SMAST - Unflagged,7.23,SMAST - Unflagged,,,,,,,,,,,0.03,SMAST - Unflagged,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/14/20 0:00,1,,,,n.m. 0.00,SMAST - Unflagged,,,8.73,SMAST - Unflagged,22.6,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,n.m. 0.00,SMAST - Unflagged,,,,,,,n.m. 0.00,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,,,,
