"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","params","param_years","last_year","param_last_values","program"
"WE-67-01","Great Pond",4,4,2,1.5,"2001, 2003, 2004, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, ORP, Conductivity","4, 3, 4, 4, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"15.7, 6.5, 14.43, 10.68, 103.33, NA, NA, 0.31, NA, NA, NA, -12.74, 35.81, 33.03, NA, 3.17, NA, 0.66, 10.68, 103.33, NA, NA, 6.53, NA, NA, NA, 0.05, NA, NA, 0.07, 11.5, NA, 0.28, NA, 210.76, 109.27","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"WE-68-01","Southeast Pond",3,2,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","2, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3",2004,"3.8, 3.5, 24.5, 7.37, NA, NA, 21.68, NA, NA, NA, 48.51, 44.22, 41.95, NA","Pond and Lake Stewards"
"WE-70-01","Turtle Pond",2,0,1,1,"2001, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, CTI_TP, CTI_Secchi","2, 2, 2, 2, 1, 1, 1, 1, 1, 2",2004,"1.5, 1.5, 23, 7, NA, NA, 21.37, NA, 48.3, 54.16","Pond and Lake Stewards"
"WE-71-01","Dyer Pond",4,4,1,1,"2001, 2003, 2014, 2016","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Quality.code.37","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1",2016,"10.3, 4.4, 23.9, 8.42, NA, NA, 30.04, NA, NA, NA, NA, 53.21, 38.15, 38.65, NA, NA","Pond and Lake Stewards"
"WE-74-01","Grass Pond",1,0,1,1,"2001","Total.Depth...DTB, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"0.2, NA, NA, 30.35, NA, NA, NA, 53.36, 39.27, NA","Pond and Lake Stewards"
"WE-76-01","Duck Pond",10,10,2,1.1,"2001, 2003, 2004, 2005, 2006, 2007, 2010, 2014, 2016, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, Quality.code.37, ORP, Conductivity","10, 8, 10, 10, 1, 9, 9, 9, 9, 9, 9, 1, 9, 9, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"18.1, 5.1, 15.54, 10.34, 102.26, NA, NA, 33.14, NA, NA, NA, NA, 54.63, 39.55, 36.52, NA, 2.97, NA, 0.89, 10.34, 102.26, NA, NA, 6.74, NA, NA, NA, 0.05, NA, NA, 31.73, 8.91, NA, 0.22, NA, NA, 229.58, 99.06","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"EA-91-01","Molls Pond",15,15,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Quality.code.37","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 1, 15, 15, 15, 15, 1",2017,"4.2, 0.9, 22.6, 9.37, NA, NA, 32.21, NA, NA, NA, NA, 54.22, 55.2, 61.52, NA, NA","Pond and Lake Stewards"
"EA-95-01","Great Pond",15,15,2,1.13,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Total.Depth...DTB, Secchi, Temp, DO, pH, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Quality.code.37","15, 15, 15, 15, 1, 15, 15, 15, 15, 15, 15, 1, 15, 15, 15, 15, 1",2017,"10.9, 2.1, 21.5, 8.53, NA, NA, NA, 13.94, NA, NA, NA, NA, 42.14, 45.33, 49.31, NA, NA","Pond and Lake Stewards"
"EA-97-01","Deborahs Pond",1,1,1,1,"2001","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"2.4, 1.2, 18.6, 1.98, NA, NA, 12.7, NA, NA, NA, 40.8, 44.51, 57.37, NA","Pond and Lake Stewards"
"EA-98-01","Bridge Pond",12,11,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2016, 2017, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, pH, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, Quality.code.37, ORP, Conductivity","12, 11, 12, 12, 1, 1, 11, 11, 11, 10, 11, 11, 1, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"6.2, 2.15, 18.49, 9.56, 101.14, NA, NA, NA, 19.2, NA, NA, NA, NA, 46.76, 40.84, 48.97, NA, 13.56, NA, 2.29, 9.56, 101.14, NA, NA, 7.39, NA, NA, NA, 0.08, NA, NA, 106.21, 25.4, NA, 0.45, NA, NA, 145.94, 163.4","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"EA-100-01","Jemima Pond",13,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13",2017,"3.3, 3.3, 22.2, 8.22, NA, NA, 20.13, NA, NA, NA, 47.44, 45.27, 42.8, NA","Pond and Lake Stewards"
"EA-101-01","Widow Harding Pond",15,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Quality.code.37","15, 15, 13, 13, 15, 15, 15, 14, 15, 15, 1, 15, 15, 15, 15, 1",2017,"4.38, 1.7, 23.3, 6.56, NA, NA, 24.16, NA, NA, NA, NA, 50.07, 52.12, 52.35, NA, NA","Pond and Lake Stewards"
"EA-102-01","Muddy Pond",13,2,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014","Total.Depth...DTB, Secchi, Temp, DO, pH, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","13, 12, 12, 13, 1, 13, 13, 13, 12, 13, 13, 13, 13, 12, 13",2014,"1.3, 1.3, 23.3, 6.35, NA, NA, NA, 38.1, NA, NA, NA, 56.64, 53.63, 56.22, NA","Pond and Lake Stewards"
"EA-103-01","Herring Pond",16,16,2,1.06,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, pH, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, Quality.code.37, ORP, Conductivity","16, 15, 16, 16, 1, 1, 15, 15, 15, 15, 15, 15, 1, 15, 15, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"10.45, 4.25, 13.64, 10.75, 105.48, NA, NA, NA, 12.7, NA, NA, NA, NA, 40.8, 36.03, 39.15, NA, 33.81, NA, 0.6, 10.75, 105.48, NA, NA, 7.96, NA, NA, NA, 0.78, NA, NA, 1002.12, 22.8, NA, 0.28, NA, NA, 211.35, 1541.73","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"OR-113-01","Ice House Pond",17,16,2,1.29,"2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Quality.code.37","16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 2, 17, 17, 16, 17, 2",2019,"5.85, 3.07, 16.35, 9.03, NA, NA, 9.91, NA, NA, NA, NA, 29.45, 45.22, 44.18, NA, NA","Pond and Lake Stewards"
"OR-122-01","Cedar Pond",15,15,2,1.2,"2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, Total.Pigments, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27, Sal, Quality.code.31, Quality.code.37","15, 15, 14, 14, 15, 15, 15, 15, 15, 15, 1, 15, 15, 15, 15, 3, 3, 1",2017,"3.9, 0.5, 24.8, 5.1, NA, NA, 171.28, NA, NA, NA, NA, 78.32, 61.93, 69.99, NA, 20, NA, NA","Pond and Lake Stewards"
